winner,loser,game_id,url,date,home_won
Miami (FL),UNC Greensboro,347,https://www.sports-reference.com/cbb/boxscores/2022-11-11-19-miami-fl.html,2022-11-11,1
Ole Miss,Florida Atlantic,348,https://www.sports-reference.com/cbb/boxscores/2022-11-11-19-mississippi.html,2022-11-11,1
NC State,Campbell,349,https://www.sports-reference.com/cbb/boxscores/2022-11-11-19-north-carolina-state.html,2022-11-11,1
UNC Wilmington,Allen,350,https://www.sports-reference.com/cbb/boxscores/2022-11-11-19-north-carolina-wilmington.html,2022-11-11,1
Bowling Green State,Oakland,351,https://www.sports-reference.com/cbb/boxscores/2022-11-11-19-oakland.html,2022-11-11,0
West Virginia,Pitt,352,https://www.sports-reference.com/cbb/boxscores/2022-11-11-19-pittsburgh.html,2022-11-11,0
Richmond,Northern Iowa,353,https://www.sports-reference.com/cbb/boxscores/2022-11-11-19-richmond.html,2022-11-11,1
South Carolina,Clemson,354,https://www.sports-reference.com/cbb/boxscores/2022-11-11-19-south-carolina.html,2022-11-11,1
Tulane,McNeese State,355,https://www.sports-reference.com/cbb/boxscores/2022-11-11-19-tulane.html,2022-11-11,1
Southern Miss,Vanderbilt,356,https://www.sports-reference.com/cbb/boxscores/2022-11-11-19-vanderbilt.html,2022-11-11,0
ETSU,Elon,357,https://www.sports-reference.com/cbb/boxscores/2022-11-11-20-east-tennessee-state.html,2022-11-11,1
Grambling,Colorado,358,https://www.sports-reference.com/cbb/boxscores/2022-11-11-20-grambling.html,2022-11-11,1
Loyola (IL),UIC,359,https://www.sports-reference.com/cbb/boxscores/2022-11-11-20-illinois-chicago.html,2022-11-11,0
Iowa,North Carolina A&T,360,https://www.sports-reference.com/cbb/boxscores/2022-11-11-20-iowa.html,2022-11-11,1
Navy,Princeton,361,https://www.sports-reference.com/cbb/boxscores/2022-11-11-20-navy.html,2022-11-11,1
Northern Colorado,Texas A&M-Commerce,362,https://www.sports-reference.com/cbb/boxscores/2022-11-11-20-northern-colorado.html,2022-11-11,1
Northwestern,Northern Illinois,363,https://www.sports-reference.com/cbb/boxscores/2022-11-11-20-northwestern.html,2022-11-11,1
Oklahoma,Arkansas-Pine Bluff,364,https://www.sports-reference.com/cbb/boxscores/2022-11-11-20-oklahoma.html,2022-11-11,1
Oral Roberts,John Brown,365,https://www.sports-reference.com/cbb/boxscores/2022-11-11-20-oral-roberts.html,2022-11-11,1
St. Thomas,Chicago State,366,https://www.sports-reference.com/cbb/boxscores/2022-11-11-20-st-thomas-mn.html,2022-11-11,1
Texas A&M-Corpus Christi,UTSA,367,https://www.sports-reference.com/cbb/boxscores/2022-11-11-20-texas-am-corpus-christi.html,2022-11-11,1
Utah,Cal State Bakersfield,368,https://www.sports-reference.com/cbb/boxscores/2022-11-11-20-utah.html,2022-11-11,1
Wake Forest,Georgia,369,https://www.sports-reference.com/cbb/boxscores/2022-11-11-20-wake-forest.html,2022-11-11,1
Xavier,Montana,370,https://www.sports-reference.com/cbb/boxscores/2022-11-11-20-xavier.html,2022-11-11,1
Colorado State,Southeastern Louisiana,371,https://www.sports-reference.com/cbb/boxscores/2022-11-11-21-colorado-state.html,2022-11-11,1
New Mexico,South Alabama,372,https://www.sports-reference.com/cbb/boxscores/2022-11-11-21-new-mexico.html,2022-11-11,1
Cal State Fullerton,Pepperdine,373,https://www.sports-reference.com/cbb/boxscores/2022-11-11-22-cal-state-fullerton.html,2022-11-11,1
California Baptist,NJIT,374,https://www.sports-reference.com/cbb/boxscores/2022-11-11-22-california-baptist.html,2022-11-11,1
