mp,fg,fga,fg_pct,fg2,fg2a,fg2_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,game_outcome,team,gameid
200.0,25.0,59.0,0.424,19.0,34.0,0.559,6.0,25.0,0.24,7.0,13.0,0.538,12.0,29.0,41.0,16.0,13.0,7.0,16.0,7.0,63.0,0.483,0.475,0.424,0.22,35.3,80.6,58.6,64.0,18.8,19.4,19.7,100.0,91.3,63.8,winner,Mississippi State,83
200.0,18.0,56.0,0.321,12.0,36.0,0.333,6.0,20.0,0.3,2.0,2.0,1.0,7.0,22.0,29.0,9.0,8.0,3.0,19.0,13.0,44.0,0.386,0.375,0.357,0.036,19.4,64.7,41.4,50.0,11.6,8.8,25.0,100.0,63.8,91.3,loser,Texas A&M-Corpus Christi,83
200.0,30.0,61.0,0.492,17.0,33.0,0.515,13.0,28.0,0.464,6.0,11.0,0.545,13.0,29.0,42.0,16.0,6.0,0.0,11.0,12.0,79.0,0.596,0.598,0.459,0.18,41.9,87.9,65.6,53.3,9.2,0.0,14.2,100.0,121.5,72.3,winner,New Hampshire,84
200.0,17.0,50.0,0.34,14.0,31.0,0.452,3.0,19.0,0.158,10.0,15.0,0.667,4.0,18.0,22.0,7.0,4.0,1.0,13.0,17.0,47.0,0.411,0.37,0.38,0.3,12.1,58.1,34.4,41.2,6.2,3.0,18.5,100.0,72.3,121.5,loser,Brandeis,84
200.0,43.0,83.0,0.518,30.0,50.0,0.6,13.0,33.0,0.394,10.0,21.0,0.476,21.0,34.0,55.0,24.0,7.0,2.0,11.0,24.0,109.0,0.586,0.596,0.398,0.253,52.5,81.0,67.1,55.8,8.5,7.1,10.6,100.0,132.9,72.0,winner,Norfolk State,85
200.0,16.0,52.0,0.308,9.0,28.0,0.321,7.0,24.0,0.292,20.0,32.0,0.625,8.0,19.0,27.0,7.0,5.0,1.0,22.0,18.0,59.0,0.439,0.375,0.462,0.615,19.0,47.5,32.9,43.8,6.1,2.0,24.7,100.0,72.0,132.9,loser,Virginia-Lynchburg,85
200.0,36.0,71.0,0.507,19.0,37.0,0.514,17.0,34.0,0.5,11.0,19.0,0.579,12.0,24.0,36.0,20.0,11.0,2.0,11.0,24.0,100.0,0.625,0.627,0.479,0.268,36.4,70.6,53.7,55.6,14.1,4.7,12.1,100.0,128.2,78.2,winner,North Carolina A&T,86
200.0,22.0,56.0,0.393,18.0,43.0,0.419,4.0,13.0,0.308,13.0,23.0,0.565,10.0,21.0,31.0,4.0,3.0,4.0,20.0,10.0,61.0,0.456,0.429,0.232,0.411,29.4,63.6,46.3,18.2,3.8,10.8,23.0,100.0,78.2,128.2,loser,Edward Waters,86
200.0,30.0,55.0,0.545,17.0,31.0,0.548,13.0,24.0,0.542,6.0,16.0,0.375,8.0,24.0,32.0,19.0,7.0,4.0,11.0,22.0,79.0,0.631,0.664,0.436,0.291,29.6,58.5,47.1,63.3,10.8,12.1,14.9,100.0,121.5,87.7,winner,Kent State,87
200.0,18.0,60.0,0.3,13.0,33.0,0.394,5.0,27.0,0.185,16.0,22.0,0.727,17.0,19.0,36.0,8.0,7.0,3.0,11.0,16.0,57.0,0.405,0.342,0.45,0.367,41.5,70.4,52.9,44.4,10.8,9.7,13.5,100.0,87.7,121.5,loser,Northern Kentucky,87
200.0,34.0,61.0,0.557,24.0,40.0,0.6,10.0,21.0,0.476,13.0,21.0,0.619,13.0,31.0,44.0,18.0,6.0,5.0,13.0,14.0,91.0,0.641,0.639,0.344,0.344,48.1,75.6,64.7,52.9,8.5,12.8,15.5,100.0,128.2,74.6,winner,Ohio State,88
200.0,20.0,63.0,0.317,16.0,39.0,0.41,4.0,24.0,0.167,9.0,17.0,0.529,10.0,14.0,24.0,6.0,5.0,1.0,10.0,16.0,53.0,0.373,0.349,0.381,0.27,24.4,51.9,35.3,30.0,7.0,2.5,12.3,100.0,74.6,128.2,loser,Robert Morris,88
200.0,29.0,58.0,0.5,24.0,41.0,0.585,5.0,17.0,0.294,21.0,27.0,0.778,14.0,27.0,41.0,18.0,5.0,4.0,10.0,15.0,84.0,0.593,0.543,0.293,0.466,48.3,81.8,66.1,62.1,7.6,13.3,12.4,100.0,127.3,98.5,winner,Old Dominion,89
200.0,21.0,53.0,0.396,11.0,30.0,0.367,10.0,23.0,0.435,13.0,18.0,0.722,6.0,15.0,21.0,16.0,6.0,0.0,9.0,21.0,65.0,0.528,0.491,0.434,0.34,18.2,51.7,33.9,76.2,9.1,0.0,12.8,100.0,98.5,127.3,loser,Maryland-Eastern Shore,89
200.0,33.0,60.0,0.55,15.0,22.0,0.682,18.0,38.0,0.474,9.0,13.0,0.692,6.0,24.0,30.0,24.0,8.0,5.0,11.0,15.0,93.0,0.703,0.7,0.633,0.217,23.1,88.9,56.6,72.7,11.4,20.8,14.3,100.0,132.9,97.1,winner,Penn State,90
200.0,22.0,49.0,0.449,11.0,24.0,0.458,11.0,25.0,0.44,13.0,14.0,0.929,3.0,20.0,23.0,12.0,7.0,3.0,16.0,12.0,68.0,0.611,0.561,0.51,0.286,11.1,76.9,43.4,54.5,10.0,13.6,22.3,100.0,97.1,132.9,loser,Winthrop,90
200.0,26.0,71.0,0.366,15.0,30.0,0.5,11.0,41.0,0.268,17.0,23.0,0.739,17.0,32.0,49.0,21.0,6.0,10.0,15.0,21.0,80.0,0.488,0.444,0.577,0.324,38.6,76.2,57.0,80.8,7.5,23.3,15.5,100.0,100.0,72.5,winner,Pitt,91
200.0,20.0,62.0,0.323,17.0,43.0,0.395,3.0,19.0,0.158,15.0,24.0,0.625,10.0,27.0,37.0,7.0,8.0,2.0,17.0,27.0,58.0,0.395,0.347,0.306,0.387,23.8,61.4,43.0,35.0,10.0,6.7,18.8,100.0,72.5,100.0,loser,UT-Martin,91
200.0,28.0,66.0,0.424,24.0,44.0,0.545,4.0,22.0,0.182,16.0,23.0,0.696,16.0,28.0,44.0,16.0,7.0,3.0,10.0,19.0,76.0,0.494,0.455,0.333,0.348,42.1,82.4,61.1,57.1,9.9,11.5,11.5,100.0,107.0,59.2,winner,Presbyterian,92
200.0,16.0,47.0,0.34,11.0,26.0,0.423,5.0,21.0,0.238,5.0,16.0,0.313,6.0,22.0,28.0,8.0,3.0,3.0,22.0,19.0,42.0,0.385,0.394,0.447,0.34,17.6,57.9,38.9,50.0,4.2,6.8,28.7,100.0,59.2,107.0,loser,Carolina,92
200.0,36.0,66.0,0.545,29.0,49.0,0.592,7.0,17.0,0.412,4.0,6.0,0.667,5.0,25.0,30.0,12.0,5.0,3.0,8.0,20.0,83.0,0.603,0.598,0.258,0.091,16.7,75.8,47.6,33.3,7.0,7.7,10.4,100.0,116.9,108.5,winner,Hofstra,93
200.0,29.0,59.0,0.492,24.0,39.0,0.615,5.0,20.0,0.25,14.0,20.0,0.7,8.0,25.0,33.0,13.0,3.0,4.0,10.0,12.0,77.0,0.562,0.534,0.339,0.339,24.2,83.3,52.4,44.8,4.2,8.2,12.7,100.0,108.5,116.9,loser,Princeton,93
200.0,32.0,68.0,0.471,21.0,42.0,0.5,11.0,26.0,0.423,8.0,12.0,0.667,14.0,30.0,44.0,17.0,7.0,1.0,16.0,10.0,83.0,0.563,0.551,0.382,0.176,42.4,68.2,57.1,53.1,9.3,2.1,17.8,100.0,110.7,109.3,winner,Queens (NC),94
200.0,34.0,78.0,0.436,23.0,47.0,0.489,11.0,31.0,0.355,3.0,4.0,0.75,14.0,19.0,33.0,21.0,14.0,6.0,8.0,13.0,82.0,0.513,0.506,0.397,0.051,31.8,57.6,42.9,61.8,18.7,14.3,9.1,100.0,109.3,110.7,loser,Marshall,94
200.0,26.0,62.0,0.419,20.0,42.0,0.476,6.0,20.0,0.3,9.0,25.0,0.36,15.0,25.0,40.0,8.0,11.0,5.0,15.0,22.0,67.0,0.453,0.468,0.323,0.403,37.5,62.5,50.0,30.8,14.5,11.6,16.9,100.0,88.2,81.6,winner,Quinnipiac,95
200.0,22.0,60.0,0.367,20.0,43.0,0.465,2.0,17.0,0.118,16.0,29.0,0.552,15.0,25.0,40.0,12.0,10.0,5.0,19.0,21.0,62.0,0.42,0.383,0.283,0.483,37.5,62.5,50.0,54.5,13.2,11.9,20.5,100.0,81.6,88.2,loser,Rhode Island,95
200.0,23.0,51.0,0.451,16.0,23.0,0.696,7.0,28.0,0.25,16.0,29.0,0.552,9.0,34.0,43.0,13.0,5.0,5.0,10.0,16.0,69.0,0.533,0.52,0.549,0.569,29.0,69.4,53.8,56.5,7.6,16.1,13.4,100.0,104.5,72.7,winner,Richmond,96
200.0,16.0,64.0,0.25,9.0,31.0,0.29,7.0,33.0,0.212,9.0,14.0,0.643,15.0,22.0,37.0,6.0,2.0,1.0,11.0,25.0,48.0,0.34,0.305,0.516,0.219,30.6,71.0,46.3,37.5,3.0,4.3,13.5,100.0,72.7,104.5,loser,VMI,96
200.0,31.0,72.0,0.431,23.0,52.0,0.442,8.0,20.0,0.4,5.0,14.0,0.357,13.0,26.0,39.0,20.0,14.0,4.0,11.0,15.0,75.0,0.477,0.486,0.278,0.194,33.3,78.8,54.2,64.5,18.7,15.4,12.3,100.0,100.0,46.7,winner,Rutgers,97
200.0,11.0,47.0,0.234,10.0,26.0,0.385,1.0,21.0,0.048,12.0,22.0,0.545,7.0,26.0,33.0,3.0,5.0,3.0,23.0,14.0,35.0,0.305,0.245,0.447,0.468,21.2,66.7,45.8,27.3,6.7,5.8,28.6,100.0,46.7,100.0,loser,Columbia,97
200.0,26.0,59.0,0.441,20.0,37.0,0.541,6.0,22.0,0.273,15.0,19.0,0.789,10.0,24.0,34.0,13.0,6.0,4.0,9.0,30.0,73.0,0.537,0.492,0.373,0.322,30.3,75.0,52.3,50.0,8.7,12.5,11.7,100.0,105.8,85.5,winner,St. Peter's,98
200.0,19.0,54.0,0.352,15.0,32.0,0.469,4.0,22.0,0.182,17.0,27.0,0.63,8.0,23.0,31.0,8.0,4.0,2.0,12.0,20.0,59.0,0.441,0.389,0.407,0.5,25.0,69.7,47.7,42.1,5.8,5.4,15.2,100.0,85.5,105.8,loser,NJIT,98
200.0,31.0,57.0,0.544,22.0,40.0,0.55,9.0,17.0,0.529,19.0,28.0,0.679,12.0,33.0,45.0,17.0,6.0,2.0,12.0,17.0,90.0,0.64,0.623,0.298,0.491,42.9,86.8,68.2,54.8,8.6,8.3,14.6,100.0,128.6,60.0,winner,USC Upstate,99
200.0,15.0,52.0,0.288,10.0,24.0,0.417,5.0,28.0,0.179,7.0,17.0,0.412,5.0,16.0,21.0,10.0,6.0,1.0,14.0,24.0,42.0,0.35,0.337,0.538,0.327,13.2,57.1,31.8,66.7,8.6,2.5,18.9,100.0,60.0,128.6,loser,Brevard,99
